anger,disgust,fear,joy,sadness,surprise,time,system,video,video_emotion,video_gender
0.103985,0.0246251,0.00132736,0.0175341,0.084085,0.015541,189,crowdemotion_CNN,boredom_M,boredom,M
0.110994,0.0346469,0.00142319,0.0215735,0.0786653,0.0145457,190,crowdemotion_CNN,boredom_M,boredom,M
0.104868,0.0365048,0.00156317,0.025947,0.0874593,0.0129493,191,crowdemotion_CNN,boredom_M,boredom,M
0.0673276,0.0214791,0.000656091,0.0148638,0.077775,0.0117178,192,crowdemotion_CNN,boredom_M,boredom,M
0.0921186,0.0307327,0.000945469,0.0186431,0.0813901,0.0154461,193,crowdemotion_CNN,boredom_M,boredom,M
0.115599,0.0377741,0.000716868,0.0206137,0.107762,0.0174376,194,crowdemotion_CNN,boredom_M,boredom,M
0.0891099,0.0293825,0.000811526,0.0175728,0.0778852,0.0188057,195,crowdemotion_CNN,boredom_M,boredom,M
0.0895215,0.0281931,0.000808694,0.0170973,0.0844138,0.0135508,196,crowdemotion_CNN,boredom_M,boredom,M
0.160111,0.0535039,0.00161533,0.0300365,0.112022,0.0236753,197,crowdemotion_CNN,boredom_M,boredom,M
0.129978,0.0468673,0.00182238,0.0276218,0.107595,0.0181638,198,crowdemotion_CNN,boredom_M,boredom,M
0.0987165,0.0323669,0.00137417,0.0216382,0.0935528,0.0116891,199,crowdemotion_CNN,boredom_M,boredom,M
0.0939568,0.0342275,0.00128867,0.0167419,0.0844619,0.0153061,200,crowdemotion_CNN,boredom_M,boredom,M
0.105158,0.0212033,0.0010517,0.0127635,0.109112,0.00752658,201,crowdemotion_CNN,boredom_M,boredom,M
0.10811,0.0268064,0.00125433,0.0123307,0.119529,0.0142545,202,crowdemotion_CNN,boredom_M,boredom,M
0.100734,0.0269778,0.00164912,0.0193272,0.101959,0.0126684,203,crowdemotion_CNN,boredom_M,boredom,M
0.107994,0.037704,0.00142837,0.019231,0.0947945,0.0146628,204,crowdemotion_CNN,boredom_M,boredom,M
0.147817,0.0483003,0.00190557,0.0489709,0.0758539,0.0185949,205,crowdemotion_CNN,boredom_M,boredom,M
0.102419,0.0246779,0.00137801,0.0186105,0.0872626,0.0149658,206,crowdemotion_CNN,boredom_M,boredom,M
0.113258,0.0359258,0.00165374,0.0241252,0.0965979,0.014128,207,crowdemotion_CNN,boredom_M,boredom,M
0.126271,0.0361102,0.00133841,0.0197612,0.111313,0.0149139,208,crowdemotion_CNN,boredom_M,boredom,M
0.111132,0.0280743,0.00115188,0.0192489,0.0939935,0.00841684,209,crowdemotion_CNN,boredom_M,boredom,M
0.10728,0.0368973,0.00144088,0.0261018,0.0725259,0.010107,210,crowdemotion_CNN,boredom_M,boredom,M
0.115397,0.0181831,0.000464306,0.0117688,0.0732941,0.0190567,211,crowdemotion_CNN,boredom_M,boredom,M
0.0608834,0.019628,0.000666158,0.0117732,0.105595,0.0157998,212,crowdemotion_CNN,boredom_M,boredom,M
0.0829345,0.024311,0.00118336,0.0153398,0.103309,0.0114626,213,crowdemotion_CNN,boredom_M,boredom,M
0.0868811,0.0114486,0.000769719,0.00492764,0.112167,0.0230368,214,crowdemotion_CNN,boredom_M,boredom,M
0.109146,0.0273033,0.00145595,0.0165311,0.101336,0.0163187,215,crowdemotion_CNN,boredom_M,boredom,M
